Star Number,HIP,Vmag,dist (pc),Type, EEID (mas),EEID (AU),HZ inner edge (mas),HZ outer edge (mas),Snow line (mas),IWA (AU),L*/Lsun,Surface Brigthness Spectral Correction Factor,Exozodi Detection Limit at IWA (in zodi),Time to SNR (hours),Exozodi Level measured by LBTI at 11 microns,,,,,
125,84478,6.33,5.95,K5V,67,0.40,63,112,221,0.89,0.158,0.56,895.65,,,,,,,
126,43587,5.96,12.59,G8V,65,0.82,62,109,215,1.89,0.675,0.83,607.77,,,,,,,
127,3583,5.8,14.99,G5IV,65,0.97,62,109,215,2.25,0.950,0.97,520.19,,,,,,,
128,23311,6.22,8.85,K3V,64,0.56,60,106,210,1.33,0.317,0.69,734.64,,,,,,,
129,56452,5.96,9.54,K0V,64,0.61,60,106,210,1.43,0.368,0.87,575.94,,,,,,,
130,72848,6,11.38,K2V,63,0.72,60,106,209,1.71,0.518,0.85,591.92,,,,,,,
131,40693,5.95,12.56,K0V,63,0.79,60,105,207,1.88,0.622,0.90,556.70,,,,,,,
132,13402,6.05,10.36,K1V,62,0.65,59,104,206,1.55,0.419,0.83,604.92,,,,,,,
133,100017,5.91,17.47,G3V,61,1.07,58,103,203,2.62,1.153,0.98,514.84,,,,,,,
134,114046,7.35,3.29,M2/M3V,61,0.20,58,102,202,0.49,0.040,0.26,1915.82,,,,,,,
135,54035,7.49,2.55,M2V,61,0.16,58,102,202,0.38,0.024,0.23,2178.68,,,,,,,
136,27435,5.97,15.25,G4V,60,0.92,57,100,198,2.29,0.841,0.97,520.36,,,,,,,
137,544,6.07,13.78,K0V,59,0.82,56,99,196,2.07,0.668,0.91,555.75,,,,,,,
138,113283,6.48,7.61,K4Vp,58,0.44,55,97,191,1.14,0.195,0.65,774.73,,,,,,,
139,26779,6.21,12.28,K1V,57,0.70,55,96,189,1.84,0.496,0.85,591.07,,,,,,,
140,1475,8.09,3.56,M1V,56,0.20,53,93,185,0.53,0.040,0.16,3177.47,,,,,,,
141,68184,6.49,10.08,K3V,56,0.56,53,93,185,1.51,0.318,0.69,726.93,,,,,,,
142,32984,6.58,8.75,K3V,55,0.48,52,91,180,1.31,0.229,0.67,753.91,,,,,,,
143,88972,6.38,11.10,K2V,54,0.60,51,90,178,1.66,0.358,0.83,610.17,,,,,,,
144,10798,6.33,12.83,G8V,52,0.67,50,87,173,1.93,0.451,0.92,548.64,,,,,,,
145,86400,6.53,10.09,K3V,52,0.53,50,87,172,1.51,0.277,0.77,656.99,,,,,,,
146,41926,6.38,12.18,K0V,52,0.64,50,87,172,1.83,0.404,0.88,571.42,,,,,,,
147,57939,6.42,9.18,G8Vp,51,0.46,48,84,167,1.38,0.215,0.90,556.70,,,,,,,
148,85235,6.44,12.79,K0V,50,0.64,48,84,166,1.92,0.412,0.90,559.24,,,,,,,
149,42808,6.58,11.19,K2V,50,0.56,47,83,164,1.68,0.311,0.80,626.99,,,,,,,
150,25878,7.97,5.70,M1V,45,0.26,43,75,149,0.86,0.066,0.27,1843.33,,,,,,,
